To Kill a Mockingbird	Harper Lee	233	1960	English	Fiction	Southern Literature, Legal Drama, Social Issues	A classic novel that explores themes of racial injustice and moral growth in the American South during the 1930s.	New	139
The Great Gatsby	F. Scott Fitzgerald	180	1925	English	Fiction	Jazz Age, Roaring Twenties, American Dream	Set in the Roaring Twenties, this novel explores the American Dream and the moral decay of society.	Fair	60
One Hundred Years of Solitude	Gabriel García Márquez	417	1967	Spanish	Fantasy	Latin American Literature, Family Saga, Magical Realism	A multi-generational tale that weaves magical elements into the history of the Buendía family in the fictional town of Macondo.	Poor	120
The Catcher in the Rye	J.D. Salinger	224	1951	English	Fiction	Bildungsroman, Teen Angst, Alienation, Coming-of-Age	Follow Holden Caulfield's journey of self-discovery and rebellion against societal norms.	New	89
The Alchemist	Paulo Coelho	208	1988	Portuguese	Fiction	Quest, Spiritual Journey, Destiny, Philosophical	Santiago's quest for a hidden treasure becomes a journey of self-discovery and spiritual awakening.	Good	119
The Lord of the Rings	J.R.R. Tolkien	1178	1954	English	Fantasy	Epic, Quest, Fellowship	Epic fantasy trilogy following the quest to destroy the One Ring and save Middle-earth from the dark lord Sauron.	Fair	199
Pride and Prejudice	Jane Austen	279	1813	English	Romance	Regency Era, Social Commentary, Love Story	A witty and romantic novel that explores societal expectations and the complexities of love.	New	50
Murder on the Orient Express	Agatha Christie	265	1934	English	Mystery	Detective, Whodunit, Hercule Poirot	Hercule Poirot investigates a murder on the famous Orient Express, leading to a surprising and intricate resolution.	Good	125
The Girl on the Train	Paula Hawkins	336	2015	Danish	Thriller	Mystery	Join Rachel on a suspenseful journey as she becomes entangled in a missing person's investigation in this gripping psychological thriller.	New	100
The Da Vinci Code	Dan Brown	481	2003	Danish	Mystery	Thriller	Join symbologist Robert Langdon on a thrilling quest to unravel ancient mysteries and uncover hidden secrets.	Good	130
Echoes of Eternity	Olivia Rivers	380	2021	English	Fantasy	Magic, Adventure, Prophecy	In a realm where magic binds the past and future, a reluctant hero must navigate treacherous landscapes, facing ancient prophecies and unraveling mysteries that could alter the course of history.	New	149
Whispers in the Shadows	Benjamin Nightingale	420	2018	English	Mystery	Suspense, Conspiracy, Detective, Thriller	Detective Emily Black is drawn into a web of conspiracy and deceit when a routine investigation takes a dark turn. As she peels back the layers, she discovers a truth that threatens to shatter her world.	Good	139
Beyond the Horizon	Marcus Turner	300	2020	English	Science Fiction	Space Exploration, Artificial Intelligence, Humanity	Set in a future where humanity has colonized distant planets, "Beyond the Horizon" explores the ethical dilemmas and existential questions that arise as artificial intelligence evolves.	New	199
The Silent Symphony	Isabella Harper	450	2017	English	Fiction	Romance, War, Music	Against the backdrop of World War II, two souls find solace in the power of music and love. "The Silent Symphony" is a tale of resilience, sacrifice, and the enduring strength of the human spirit.	Good	79
Threads of Destiny	Javier Rodriguez	340	2019	Spanish	Fiction	Family Saga, Revolution, Destiny	Spanning generations, "Threads of Destiny" weaves a tapestry of love and loss, set against the backdrop of a nation in upheaval. A family's journey mirrors the twists of history.	New	199
The Quantum Paradox	Natalie Chen	280	2022	English	Science Fiction	Quantum Physics, Time Travel, Parallel Realities	A mind-bending journey through the realms of quantum physics, "The Quantum Paradox" explores the consequences of a groundbreaking experiment that fractures reality itself.	New	299
Whispers of the Moon	Sarah Montgomery	320	2020	English	Mystery	Suspense, Small Town Secrets, Moonlit Nights	In a quiet town where everyone has something to hide, a series of mysterious events unfold under the light of the moon, revealing secrets that could shatter the community.	New	170
Ephemeral Echoes	Jonathan Reed	250	2018	English	Science Fiction	Time Travel, Parallel Universes, Existential Reflections	As a scientist accidentally discovers the key to time travel, "Ephemeral Echoes" explores the consequences of altering one's past and the ripple effects on the fabric of reality.	Good	130
Songbird Serenade	Harper Williams	235	2019	English	Romance	Music, Love, Second Chances	In the world of high-stakes music, two souls find harmony against the backdrop of a symphony of emotions. "Songbird Serenade" is a tale of love, ambition, and the power of a melody.	New	199
Shadows in Scarlet	Alexander Thornfield	350	2017	English	Fiction	Espionage, Intrigue, War	Set in the clandestine world of wartime espionage, "Shadows in Scarlet" follows a spy on a perilous mission, navigating a web of deceit and danger to uncover the truth.	Good	169
1984	George Orwell	328	1949	English	Fiction	Political, Surveillance	A chilling vision of a totalitarian future where truth is subjective.	Good	129
The Girl with the Dragon Tattoo	Stieg Larsson	672	2005	Swedish	Mystery	Crime, Nordic Noir	Investigate a decades-old disappearance with journalist Mikael Blomkvist.	New	160
The Road	Cormac McCarthy	287	2006	English	Fiction	Survival, Father-Son Relationship	A father and son's journey through a desolate, post-apocalyptic landscape.	Good	129
Harry Potter and the Sorcerer's Stone	J.K. Rowling	320	1997	English	Fantasy	Magic, Coming of Age	The magical journey begins with Harry Potter's first year at Hogwarts.	New	179
The Time Traveler's Dilemma	Jennifer Niven	400	2018	English	Science Fiction		A gripping time-travel adventure that explores the moral complexities of altering the past.	New	149
Whispers in the Dark	Tana French	512	2021	English	Mystery	Drama	Tana French weaves a chilling mystery that unfolds in the shadowy corners of an old mansion.	New	299
Harmony of the Spheres	David Mitchell	560	2020	English	Fiction	Fantasy	A sprawling narrative that spans centuries, David Mitchell's work intertwines the lives of seemingly unrelated characters.	Good	149
Mindful Living	Thich Nhat Hanh	224	2015	English	Self Development	Self-Help	Thich Nhat Hanh imparts wisdom on cultivating mindfulness in everyday life.	New	130
Surrender to the Night	Sylvia Day	336	2017	English	Romance	Erotica	Sylvia Day's steamy romance set against the backdrop of a bustling city.	Good	90
The Quantum Enigma	Brian Greene	448	2014	English	Science	Science	Brian Greene unravels the mysteries of quantum mechanics in an accessible way.	Good	120
The Forgotten Garden	Kate Morton	560	2009	English	Fiction	Mystery	A captivating tale of secrets and discovery spanning generations.	Poor	100
The Minimalist Home	Joshua Becker	256	2020	English	Home	Self-Help	Joshua Becker offers practical advice on simplifying your living space.	New	139
Neuromancer	William Gibson	320	1984	English	Science Fiction	Science Fiction	A seminal work in the cyberpunk genre, William Gibson's "Neuromancer" takes readers into a dystopian future.	Good	70
Cosmos	Carl Sagan	365	1980	English	Science Fiction	Science	Carl Sagan's classic explores the wonders of the universe, blending science, philosophy, and history to provide a comprehensive and awe-inspiring journey through space and time.	Good	140
The Odyssey	Homer	416	2009	English	Epic poetry	History	The Odyssey" is one of the greatest epic poems of ancient Greek literature, attributed to the legendary poet Homer. The narrative follows the hero Odysseus as he embarks on a perilous and transformative journey back home to Ithaca after the Trojan War.	Good	205
The Adventures of Huckleberry Finn	Mark Twain	480	2008	English	Children	Traveling	A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.	Good	80
Sapiens: A Brief History of Humankind	Yuval Noah Harari	512	2015	English	History	Biologic	Yuval Noah Harari takes readers on a journey through the history of Homo sapiens, exploring key events and developments that have shaped the course of human evolution.	Good	90
Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days	Jake Knapp	228	2016	English	Self Development	Self-Help	Jake Knapp, John Zeratsky, and Braden Kowitz present a practical guide to running successful sprints for product development and problem-solving, drawing on their experiences at Google Ventures.	Good	150
The Art of Computer Programming	Donald Knuth	672	2011	English	Nonfiction	Science	Authored by Donald E. Knuth, this multi-volume series is a comprehensive and timeless exploration of computer programming and algorithms.	Fair	400
The Shadow of the Wind	Carlos Ruiz Zafón	565	2011	Spanish	Mystery	Fantasy	Carlos Ruiz Zafón's atmospheric novel is set in post-World War II Barcelona and follows a young boy who discovers a mysterious book that leads him into a complex and dark mystery.	Good	150
The Martian	Andy Weir	369	2011	English	Science Fiction	Science	Join astronaut Mark Watney in Andy Weir's gripping sci-fi novel as he fights for survival on Mars after being stranded by his crew. Packed with humor, suspense, and science, it's a thrilling adventure.	Good	110
The Tragedie of Romeo and Juliet	William Shakespeare	281	2002	English	Tragedy	Love	Romeo and Juliet is a tragedy written by William Shakespeare early in his career about the romance between two Italian youths from feuding families.	New	100
